run number,density,similar-wanted,step,percent-similar
3610,72,26,10,65.7402155416903
3612,72,26,9,65.64139677944635
3613,72,26,10,65.77464788732395
3615,72,26,8,64.2754662840746
3617,72,28,10,65.08566275924255
3616,72,26,9,66.13141380583241
3614,72,26,15,65.87229397853375
3618,72,28,12,69.96846596178816
3619,72,28,12,66.25153481845291
3621,72,28,12,66.21115687008611
3620,72,28,15,67.28418640183345
3622,72,28,9,66.60570592538406
3624,72,28,8,64.10351201478744
3623,72,28,12,66.43043640432674
3625,72,30,13,72.37199203908088
3626,72,30,16,73.1661323778993
3628,72,30,12,71.44927536231884
3627,72,30,16,71.04542966611932
3631,72,30,11,73.26843878697117
3629,72,30,16,73.84227862817283
3630,72,30,13,71.34728340675477
3632,72,30,15,71.64634146341463
3633,72,32,12,71.8491260349586
3634,72,32,12,72.97249956209494
3635,72,32,11,72.01269604182225
3636,72,32,13,71.48325358851675
3637,72,32,10,71.30193905817175
3638,72,32,11,72.43233222098628
3639,72,32,13,73.53651737595243
3640,72,32,13,71.88605473840998
3643,72,34,12,79.20539456898122
3641,72,34,13,78.80050733828593
3642,72,34,14,76.12400290065264
3644,72,34,12,79.97396801785051
3645,72,34,12,78.16626371582667
3646,72,34,13,79.13746630727762
3648,72,34,16,77.11018333635869
3647,72,34,18,77.31002497324295
3649,72,36,16,79.15936952714536
3650,72,36,16,78.38380153228749
3651,72,36,10,79.13325371097082
3652,72,36,10,79.22865013774106
3653,72,36,16,76.81524083393242
3656,72,36,10,78.5040071237756
3654,72,36,10,77.4981495188749
3655,72,36,14,78.8825583532439
3657,72,38,12,81.1469402711616
3658,72,38,19,81.72551874772479
3659,72,38,17,79.80980248719824
3660,72,38,15,80.51001821493625
3661,72,38,16,80.29428198919724
3662,72,38,14,80.36463081130356
3664,72,38,14,80.76228323699422
3663,72,38,19,81.46970830216902
3665,72,40,12,78.20113573914637
3666,72,40,13,80.27726432532347
3669,72,40,13,80.25316455696202
3667,72,40,17,80.38030922338723
3668,72,40,14,80.28322440087146
3670,72,40,15,82.10195788695972
3671,72,40,12,80.57651383246277
3674,72,42,16,85.2491103202847
3675,72,42,12,84.02538531278331
3673,72,42,20,82.94629898403484
3672,72,40,20,80.74406431108618
3676,72,42,12,83.83658969804618
3677,72,42,17,83.92794065701166
3679,72,42,13,82.46777163904235
3680,72,42,12,83.09808179515021
3678,72,42,16,84.98603351955308
3681,72,44,16,87.1866295264624
3682,72,44,15,87.19158200290276
3683,72,44,18,87.96196627197703
3684,72,44,20,87.78440880268556
3685,72,44,19,87.68999812347532
3686,72,44,14,88.06707855251544
3687,72,44,20,87.0864057477784
3689,72,46,16,87.21679867378892
3688,72,44,19,87.90016277807922
3690,72,46,22,86.30643967431533
3692,72,46,14,86.26025354213273
3691,72,46,15,88.74538745387454
3694,72,46,16,87.93585679656908
3693,72,46,22,89.06393112291629
3695,72,46,17,87.01369863013699
3696,72,46,19,87.37145949846654
3698,72,48,14,86.8946963873943
3699,72,48,17,87.99138395261174
3697,72,48,18,88.27885136355427
3700,72,48,17,86.66541986160465
3701,72,48,16,88.07848944835246
3703,72,48,14,87.43169398907104
3702,72,48,19,88.01548886737656
3704,72,48,15,88.00296680882626
3707,72,50,14,87.13547434477668
3708,72,50,14,87.44596880285661
3705,72,50,22,87.64335923048465
3706,72,50,19,88.6326493553659
3710,72,50,13,88.20976491862568
3712,72,50,16,86.98090064832662
3711,72,50,18,87.83858485351023
3709,72,50,20,87.91106128550075
3713,72,52,24,95.06928198668346
3714,72,52,31,93.56067476872846
3715,72,52,24,93.91059486096445
3716,72,52,28,93.5844296269598
3717,72,52,20,93.32971800433839
3718,72,52,26,94.06320935917584
3721,72,54,24,95.0026301946344
3719,72,52,35,94.81790179380323
3722,72,54,22,94.08202111091884
3720,72,52,43,94.78308621636464
3723,72,54,28,93.6141071734292
3724,72,54,23,95.01963584434131
3726,72,54,23,94.8672250935662
3725,72,54,28,94.40547176429322
3727,72,54,25,94.41311244272119
3728,72,54,25,94.60077383046078
3729,72,56,26,94.51432564640112
3730,72,56,28,94.24037089871612
3731,72,56,30,93.99262251888284
